Symbol	Sector
NHPC	Power - Hydro
POWERGRID	Power - Transmission
TATAPOWER	Power - Utilities
JSWENERGY	Power - Utilities
NTPC	Power - Utilities
TORNTPOWER	Power - Utilities
GODREJPROP	Real Estate
LODHA	Real Estate
OBEROIRLTY	Real Estate
PRESTIGE	Real Estate
DLF	Real Estate
PHOENIXLTD	Real Estate
INOXWIND	Renewable Energy
PREMIERENE	Renewable Energy
ADANIENSOL	Renewable Energy
ADANIGREEN	Renewable Energy
WAAREEENER	Renewable Energy - Solar
SUZLON	Renewable Energy - Wind
TRENT	Retail
SRF	Specialty Chemicals
IDEA	Telecom
BHARTIARTL	Telecom
INDUSTOWER	Telecom Infrastructure
PAGEIND	Textiles & Apparel
